Month,Sample,Region
Jan,0,Midwest
Jan,0,Norteast
Jan,0,South
Jan,0,West
Feb,0,Midwest
Feb,0,Norteast
Feb,0,South
Feb,0,West
Mar,819,Midwest
Mar,2228,Norteast
Mar,688,South
Mar,772,West
Apr,10261,Midwest
Apr,35530,Norteast
Apr,9176,South
Apr,4507,West
May,18933,Midwest
May,54766,Norteast
May,18026,South
May,8621,West
Jun,23518,Midwest
Jun,60302,Norteast
Jun,24091,South
Jun,11984,West
Jul,26198,Midwest
Jul,62701,Norteast
Jul,37857,South
Jul,18357,West
Aug,29187,Midwest
Aug,64143,Norteast
Aug,56551,South
Aug,25251,West
